root_label,label,metric,system,p_raw,p_holm,median_diff
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_checkerboard_potential,0.0009765625,0.0166015625,-143.31794285714287
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_duffing_triple_well,0.0009765625,0.0166015625,-163.367914244186
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_snic_multi,0.0009765625,0.0166015625,-174.91291182170542
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_transition_routes_4,0.0009765625,0.0166015625,-162.96638452237005
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_var_depth_gradient_4,0.0009765625,0.0166015625,-150.2402733964248
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_var_diamond_4,0.0009765625,0.0166015625,-147.2964132641552
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_var_l_shape_5,0.0009765625,0.0166015625,-151.36531007751938
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,gated_local_linear,0.0009765625,0.0166015625,-167.78488372093022
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,gated_transfer_linear,0.0009765625,0.0166015625,-154.26405038759688
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,multiwell_strong_transition,0.0009765625,0.0166015625,-137.87778585271317
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_arrested_spiral,0.001953125,0.0166015625,-225.9171511627907
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_cal_asymmetric_3,0.001953125,0.0166015625,-229.02083333333334
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_cal_hexagon_6,0.001953125,0.0166015625,-227.34124485347542
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_cal_high_cross_3,0.0009765625,0.0166015625,-225.99576065891472
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_cal_octagon_8,0.0009765625,0.0166015625,-226.4841318749037
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_cal_pentagon_5,0.0009765625,0.0166015625,-225.9869005847953
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_cal_square_4,0.0009765625,0.0166015625,-225.22687274368232
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_checkerboard_potential,0.0009765625,0.0166015625,-221.69257142857145
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_duffing_triple_well,0.0009765625,0.0166015625,-230.04090964147287
