model,system,metric,step,value,metrics_file
LISTA,dysts_Chua,eval/final_error,41500,7959.45166015625,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,42000,2.0479259490966797,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,42500,38.67728805541992,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,43000,2.089447259902954,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,43500,302.62738037109375,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,44000,759.6465454101562,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,44500,2442.834716796875,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,45000,2346.364990234375,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,45500,1.7866054773330688,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,46000,2.1240274906158447,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,46500,1.9643961191177368,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,47000,1.829756259918213,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,47500,2.0244317054748535,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,48000,1.7858365774154663,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,48500,166.69728088378906,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
