root_label,display,system_key,horizon,n_pairs,log10_delta_iqm,log10_delta_median,iqm_ratio_to_dense,candidate_system_iqm,dense_system_iqm,p_raw,p_holm,passes_holm_0p05,reason
lista_bd,LISTA-BD,dysts:Hadley,100,15,-0.11110620065300056,-0.15405725101830559,0.529340447685166,0.00016988218703767143,0.0003209318082163857,0.1795654296875,0.5386962890625,False,
lista_bd,LISTA-BD,dysts:LorenzCoupled,100,15,0.34739854143085125,0.27302117561954664,2.9565201676587187,0.0024037818823541427,0.0008130443041278856,0.9937744140625,1.0,False,
lista_bd,LISTA-BD,dysts:LuChenCheng,100,15,-0.19315201227304415,-0.1853723446363742,0.6241887239518686,8.660046400368677e-05,0.00013874083379046198,0.04730224609375,0.3330078125,False,
lista_bd,LISTA-BD,dysts:MultiChua,100,15,-0.26974370670508835,-0.2443785189305605,0.5110293192225339,0.0001116310605928637,0.00021844355381154284,0.017669677734375,0.17669677734375,False,
lista_bd,LISTA-BD,dysts:QiChen,100,15,-0.7184244146925912,-0.6954142927006499,0.16616273304154094,0.00014840790078902855,0.0008931479283740858,0.000213623046875,0.002349853515625,True,
lista_bd,LISTA-BD,dysts:Sakarya,100,15,-0.3725214904877213,-0.3024543677344591,0.1355442195427902,0.0009363548431012714,0.006908113427925799,0.053497314453125,0.3330078125,False,
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,100,15,-0.19111950806027003,-0.15056175394834037,0.3627175506842173,0.00020302762485302858,0.0005597402840586142,0.06768798828125,0.3330078125,False,
lista_bd,LISTA-BD,dysts:ShimizuMorioka,100,15,-0.2140525206585311,-0.21214640119291106,0.6106949040486671,8.429361696471232e-05,0.0001380290164628504,0.0416259765625,0.3330078125,False,
lista_bd,LISTA-BD,dysts:WangSun,100,15,0.07174036851275455,0.050379828823222894,1.3929095643419758,0.0011575852653809573,0.0008310555796404571,0.789398193359375,1.0,False,
lista_bd,LISTA-BD,dysts:Chua,500,15,-0.47657649158617554,-0.5398337534339483,0.3127715495014178,0.0005831825630073429,0.0018645639730882856,3.0517578125e-05,0.0003662109375,True,
lista_bd,LISTA-BD,dysts:Dadras,500,15,-0.2602977824725144,-0.2707172585694462,0.586787575568807,0.00654394898031433,0.011152160087866386,0.010772705078125,0.096954345703125,False,
lista_bd,LISTA-BD,dysts:DequanLi,500,15,-0.11089436488353956,-0.13862478005831935,0.6382412372373125,0.0032811944838612712,0.0051409941765346145,0.09381103515625,0.46905517578125,False,
lista_bd,LISTA-BD,dysts:Hadley,500,15,0.008474198314118362,0.017279972792549447,0.7336233926745502,0.002654691326564929,0.0036186023415730995,0.339385986328125,1.0,False,
lista_bd,LISTA-BD,dysts:LorenzCoupled,500,15,0.3925278962054323,0.2808242553664826,2.440470489117196,0.04047550793204983,0.016585124922650157,0.982330322265625,1.0,False,
lista_bd,LISTA-BD,dysts:LuChenCheng,500,15,-0.2652333818993223,-0.36274251885238495,0.49115308118223083,0.0012425357875014572,0.002529834047891157,0.012786865234375,0.102294921875,False,
lista_bd,LISTA-BD,dysts:MultiChua,500,15,-0.3025085206216085,-0.2621624929579336,0.46661389342121407,0.0019944563474771854,0.004274318393851986,0.0062255859375,0.062255859375,False,
lista_bd,LISTA-BD,dysts:QiChen,500,15,-0.6815875339783614,-0.6843401943807099,0.19219664939428052,0.0022526010704625285,0.011720293134983042,0.00030517578125,0.00335693359375,True,
lista_bd,LISTA-BD,dysts:Sakarya,500,15,-0.1609980730196379,-0.12603832944835291,0.294589967443579,0.016760978648172914,0.05689595879188601,0.09381103515625,0.46905517578125,False,
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,500,15,-0.30904517602612264,-0.2571093175263637,0.4433895553440249,0.0028969283282224007,0.006533596232267314,0.060272216796875,0.36163330078125,False,
lista_bd,LISTA-BD,dysts:ShimizuMorioka,500,15,-0.3168973942794907,-0.38512072427448496,0.4668314231863793,0.0011128733001116856,0.0023838868697306573,0.027679443359375,0.193756103515625,False,
lista_bd,LISTA-BD,dysts:WangSun,500,15,0.35388319370149857,0.3429181033261064,1.7112597005856998,0.030841424262949346,0.018022643934403112,0.9583740234375,1.0,False,
lista_bd,LISTA-BD,dysts:Chua,1000,15,-0.5340074204049751,-0.575494089010459,0.2585658647457855,0.0018102609153304427,0.0070011597126722,3.0517578125e-05,0.0003662109375,True,
