root_label,label,horizon,system,p_raw_t,p_holm_t,p_raw_w,p_holm_w,mean_diff_log10,median_diff_log10,hl_diff_log10,lo_log10,hi_log10,n_seeds
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_transition_routes_4,2.1385646666499518e-06,2.352421133314947e-05,0.0009765625,0.0166015625,-1.3723172447621,-1.350605545275409,-1.3382886078248153,-1.548636645260009,-1.1219206316014956,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_var_depth_gradient_4,1.4815256440113e-05,0.000118522051520904,0.0009765625,0.0166015625,-1.8550783009823135,-1.9977292107058489,-2.0025132103275336,-2.3217535037156996,-1.3692322814954017,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_var_diamond_4,0.00017113678342395031,0.0006845471336958013,0.0009765625,0.0166015625,-1.5218053037648953,-1.5690533532995221,-1.508607386694666,-2.1099898034843685,-0.7147644879249048,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_var_l_shape_5,9.991843524155306e-05,0.0004995921762077653,0.0009765625,0.0166015625,-1.8740567184769987,-1.8887990482921793,-2.025758223695858,-2.6523602264812327,-0.9062419142586038,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,gated_local_linear,7.468734541004356e-11,1.2696848719707405e-09,0.0009765625,0.0166015625,-2.2843813672838245,-2.22979381048251,-2.3027283801064096,-2.5254445196172686,-2.1141360001253866,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,gated_transfer_linear,0.0006405886304158286,0.0019217658912474857,0.001953125,0.0166015625,-0.14910450314198376,-0.1462217775553942,-0.14130322281524643,-0.22436090946292267,-0.06900081646691801,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,multiwell_strong_transition,0.6244098342446944,0.6244098342446944,0.0419921875,0.083984375,0.8983528661417687,-1.6276698386711572,-1.5109829547503775,-2.4497242610759753,-1.0213147595932746,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_arrested_spiral,0.004578248710322883,0.013734746130968648,0.009765625,0.029296875,-1.174422700455291,-1.3965938004151035,-1.3306914191297616,-2.1397350856694413,0.4342875038285541,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_cal_asymmetric_3,5.666346607194832e-05,0.0003966442625036382,0.001953125,0.0166015625,-1.4878919125213297,-1.316223627522819,-1.4035530787783383,-2.165747284262964,-0.721982036274327,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_cal_hexagon_6,5.870128898401542e-07,6.4571417882416966e-06,0.001953125,0.0166015625,-1.8323363100022863,-1.8528670071250644,-1.8528670071250644,-1.958182914949179,-1.5894292646865424,9
