system_key,seed,status,staged_train_env_name,global_train_env_name,h100_staged_best_periodic_mean,h100_global_best_periodic_mean,h100_staged_best_periodic_mode,h100_global_best_periodic_mode,h100_staged_over_global,h500_staged_best_periodic_mean,h500_global_best_periodic_mean,h500_staged_best_periodic_mode,h500_global_best_periodic_mode,h500_staged_over_global,h1000_staged_best_periodic_mean,h1000_global_best_periodic_mean,h1000_staged_best_periodic_mode,h1000_global_best_periodic_mode,h1000_staged_over_global,wins_all_horizons
claude:var_depth_gradient_4,11,ok,claude:var_depth_gradient_4,claude:var_depth_gradient_4,0.00016240618424490094,0.0004980294615961611,periodic_5,periodic_5,0.3260975439573328,0.00011419135262258351,0.0002860684471670538,periodic_5,periodic_5,0.3991749308720504,0.00010816460417117923,0.00025957360048778355,periodic_5,periodic_5,0.4167010973686049,True
claude:var_depth_gradient_4,12,ok,claude:var_depth_gradient_4,claude:var_depth_gradient_4,0.0003561634221114218,0.000660479418002069,periodic_5,periodic_5,0.539249842468681,0.0003589221742004156,0.000669684202875942,periodic_5,periodic_5,0.5359573552116556,0.00035926687996834517,0.0006708352011628449,periodic_5,periodic_5,0.535551621837348,True
claude:var_depth_gradient_4,13,ok,claude:var_depth_gradient_4,claude:var_depth_gradient_4,0.0003804135194513947,0.0005636507412418723,periodic_5,periodic_5,0.6749099958836968,0.00040035267011262476,0.00041129637975245714,periodic_5,periodic_5,0.9733921566573989,0.0004028379626106471,0.0003922519099432975,periodic_5,periodic_5,1.026987893236466,False
claude:var_depth_gradient_4,14,ok,claude:var_depth_gradient_4,claude:var_depth_gradient_4,0.00028028112137690187,0.00039858341915532947,periodic_5,periodic_5,0.7031931282311451,0.00018184618966188282,0.000261017499724403,periodic_5,periodic_5,0.6966819843645973,0.00016954100283328444,0.00024382132687605917,periodic_5,periodic_5,0.6953493568651876,True
claude:var_diamond_4,0,ok,claude:var_diamond_4,claude:var_diamond_4,0.0005286614177748561,0.004586443770676851,periodic_5,periodic_5,0.11526608505588157,0.00028858930454589427,0.07167978584766388,periodic_5,periodic_10,0.004026090495850717,0.00022486253874376416,0.07952813804149628,periodic_5,periodic_10,0.0028274588627541504,True
claude:var_diamond_4,1,ok,claude:var_diamond_4,claude:var_diamond_4,0.0012372363125905395,0.001973539823666215,periodic_10,periodic_2,0.6269122607782722,0.0004014157457277179,0.04731505736708641,periodic_5,periodic_2,0.008483890077811744,0.00025664744316600263,0.06749662756919861,periodic_5,periodic_2,0.0038023743171891606,True
claude:var_diamond_4,2,ok,claude:var_diamond_4,claude:var_diamond_4,0.003599469317123294,0.004716904833912849,periodic_1,periodic_10,0.7630998385306407,0.07235775887966156,0.03953759744763374,periodic_5,periodic_10,1.8301000452922576,0.080507792532444,0.06342785060405731,periodic_5,periodic_10,1.2692814239442969,False
claude:var_diamond_4,3,ok,claude:var_diamond_4,claude:var_diamond_4,0.0005638870061375201,0.007073762360960245,periodic_5,periodic_10,0.07971528832373355,0.00022761452419217676,0.07249791920185089,periodic_5,periodic_5,0.0031396007871404633,0.00016089055861812085,0.08051881194114685,periodic_5,periodic_5,0.001998173529134032,True
claude:var_diamond_4,4,ok,claude:var_diamond_4,claude:var_diamond_4,0.0005474706995300949,0.0009131155675277114,periodic_5,periodic_10,0.5995634276747561,0.0002559243293944746,0.040740177035331726,periodic_5,periodic_2,0.0062818659126720406,0.0002088720939354971,0.06498489528894424,periodic_5,periodic_2,0.003214163737692936,True
claude:var_diamond_4,5,ok,claude:var_diamond_4,claude:var_diamond_4,0.0006267481949180365,0.0016592050669714808,periodic_5,periodic_2,0.377740043948895,0.00020292919361963868,0.0021037706173956394,periodic_5,periodic_10,0.09645975276090445,0.00014611435472033918,0.0011148933554068208,periodic_5,periodic_10,0.13105679929989586,True
