model,seed,horizon,physical_time,field_mse,final_field_mse,relative_rmse,final_relative_rmse,persistence_field_mse,persistence_final_field_mse,pixel_basin_mean_iou,same_horizon_modal_basin_consistency
sparse,12,10,1.0,0.01826963499188423,0.012143886182457209,0.6990207388622675,0.41106838221829617,0.03738950788974762,0.07186700403690338,0.849002663625221,0.9296875
sparse,12,20,2.0,0.016093459725379945,0.015921220649033785,0.46036584560199006,0.32587312831902565,0.07593521475791931,0.1499267965555191,0.8497752868020482,0.9375
sparse,12,40,4.0,0.01852876916527748,0.02547503262758255,0.34678731903100807,0.2898043037139423,0.15407073497772217,0.30332282185554504,0.8524741136372458,0.89453125
sparse,12,80,8.0,0.028748705983161926,0.05277964100241661,0.31811098517667186,0.3279441218216931,0.2840932846069336,0.4907572567462921,0.8495124720374834,0.8828125
sparse,12,120,12.0,0.041171467304229735,0.07693719863891602,0.33482722116412844,0.36981575412982604,0.3672441005706787,0.562555730342865,0.8314833416099052,0.86328125
sparse,12,160,16.0,0.052811223268508914,0.0980466790497303,0.35444860316159316,0.4069217199541798,0.4203583598136902,0.5921219289302826,0.8067978486171696,0.8359375
sparse,12,200,20.0,0.0644423270225525,0.125733632594347,0.37571947165914066,0.45441997885932156,0.45650318145751956,0.6088868975639343,0.7786340527145746,0.83203125
sparse,13,1,0.1,0.039300018921494484,0.039300018921494484,3.4624247403600563,3.4624247403600563,0.0032781745539978147,0.0032781745539978147,0.8121864923171505,0.90234375
sparse,13,5,0.5,0.0251860111951828,0.01634688302874565,1.180638124522181,0.6969135207068492,0.018068653345108033,0.03365713730454445,0.8317709935091153,0.91015625
sparse,13,10,1.0,0.019414254277944566,0.01301431842148304,0.7205854392870177,0.4255454427574363,0.03738950788974762,0.07186700403690338,0.8450588506593864,0.91796875
sparse,13,20,2.0,0.017047572880983353,0.016730171628296375,0.4738159378886367,0.3340493009795593,0.07593521475791931,0.1499267965555191,0.8447236988956772,0.91015625
sparse,13,40,4.0,0.020299475640058517,0.031134333461523056,0.3629796960926461,0.32038136137460216,0.15407073497772217,0.30332282185554504,0.8402187176278055,0.8984375
sparse,13,80,8.0,0.03860031068325043,0.08158139511942863,0.3686081353804856,0.40772017210884776,0.2840932846069336,0.4907572567462921,0.811887520024156,0.84765625
sparse,13,120,12.0,0.05969025691350301,0.11889193579554558,0.40315709769459085,0.4597200261133327,0.3672441005706787,0.562555730342865,0.7825862160503192,0.82421875
sparse,13,160,16.0,0.0794678658246994,0.16034846752882004,0.43479639091987626,0.5203874738715037,0.4203583598136902,0.5921219289302826,0.7370494233793569,0.8046875
sparse,13,200,20.0,0.10188307285308838,0.22619116306304932,0.4724209115368722,0.6094940951760774,0.45650318145751956,0.6088868975639343,0.6759686352140662,0.78125
sparse,14,1,0.1,0.037356115877628326,0.037356115877628326,3.375707584728217,3.375707584728217,0.0032781745539978147,0.0032781745539978147,0.8171855172054194,0.9140625
sparse,14,5,0.5,0.02372794970870018,0.015277458354830742,1.1459540760206188,0.6737316768225907,0.018068653345108033,0.03365713730454445,0.8394972977714196,0.94140625
sparse,14,10,1.0,0.01830219477415085,0.012411595787853003,0.69964335205362,0.41557464389232096,0.03738950788974762,0.07186700403690338,0.8537392003875018,0.9375
sparse,14,20,2.0,0.016238871961832047,0.016190837137401104,0.46244098334122635,0.32862077937661494,0.07593521475791931,0.1499267965555191,0.8537225715355423,0.92578125
sparse,14,40,4.0,0.01897530034184456,0.02667270414531231,0.3509411290501031,0.296538427392468,0.1540707230567932,0.30332282185554504,0.8535317939474647,0.9296875
sparse,14,80,8.0,0.028674964606761933,0.04877893812954426,0.31770274731416404,0.31527011550888695,0.28409327268600465,0.4907572567462921,0.8498560711002441,0.8984375
sparse,14,120,12.0,0.03862200975418091,0.06721321120858192,0.32429482665572407,0.3456563550787969,0.3672441005706787,0.562555730342865,0.8375179580166996,0.8671875
sparse,14,160,16.0,0.04813484251499176,0.08640211075544357,0.3383918799965454,0.3819940545208665,0.4203583598136902,0.5921219289302826,0.8126797143994745,0.87109375
sparse,14,200,20.0,0.05858214855194092,0.11655168980360031,0.3582289948904064,0.4375130110275553,0.45650320053100585,0.6088868975639343,0.7758968081649256,0.85546875
sparse,15,1,0.1,0.04124530218541622,0.04124530218541622,3.5470818288900143,3.5470818288900143,0.0032781745539978147,0.0032781745539978147,0.7943426206024092,0.9453125
sparse,15,5,0.5,0.026681306958198547,0.01755334436893463,1.2151801220453644,0.7221731695480375,0.018068653345108033,0.03365713730454445,0.8172324651194263,0.9296875
sparse,15,10,1.0,0.020804151147603988,0.014457918237894773,0.7459335236944629,0.44852650480892925,0.03738950788974762,0.07186700403690338,0.8346897571703292,0.92578125
sparse,15,20,2.0,0.01884625032544136,0.019555306062102318,0.49818524984360335,0.3611542067704992,0.07593521475791931,0.1499267965555191,0.8378254814907071,0.9296875
sparse,15,40,4.0,0.022360847145318986,0.031361120752990246,0.3809641123092215,0.32154609784145777,0.1540707230567932,0.30332282185554504,0.8394623075746266,0.9140625
sparse,15,80,8.0,0.0332552507519722,0.055611373856663704,0.34213668137964043,0.3366266127243478,0.28409327268600465,0.4907572567462921,0.838647333250764,0.87109375
sparse,15,120,12.0,0.04481036067008972,0.08094678074121475,0.34931063300247595,0.3793298456526349,0.3672441005706787,0.562555730342865,0.8217536558640235,0.86328125
sparse,15,160,16.0,0.05850124061107635,0.12059316039085388,0.3730548526734941,0.4512900577670632,0.4203583598136902,0.5921219289302826,0.784450906287034,0.83984375
sparse,15,200,20.0,0.07843877792358399,0.20800626277923584,0.41451809730517575,0.5844803180909425,0.45650320053100585,0.6088868975639343,0.7055120211807766,0.8046875
sparse,16,1,0.1,0.03715277835726738,0.03715277835726738,3.3665076905244815,3.3665076905244815,0.0032781745539978147,0.0032781745539978147,0.8224236875141753,0.90625
sparse,16,5,0.5,0.02361658066511154,0.015199363231658936,1.1432615990758543,0.6720074839349505,0.018068653345108033,0.03365713730454445,0.8405417687748817,0.91796875
sparse,16,10,1.0,0.018122829496860504,0.01199326105415821,0.6962065866147106,0.40851111091008546,0.03738950788974762,0.07186700403690338,0.8565231059072004,0.921875
sparse,16,20,2.0,0.015613318979740142,0.014621769543737173,0.45344644713398763,0.31229162425690027,0.07593521475791931,0.1499267965555191,0.8586768777736895,0.91015625
sparse,16,40,4.0,0.017437192797660827,0.023792014457285404,0.3364172251690728,0.28006772506607097,0.1540707230567932,0.30332282185554504,0.8543653573476926,0.8671875
sparse,16,80,8.0,0.02708325386047363,0.04859045147895813,0.30875922729257604,0.31466040846299204,0.28409327268600465,0.4907572567462921,0.8518637418400343,0.8671875
