benchmark,condition,model,split,horizon,latent_dim,sparsity_coefficient,metric_name,mean,std,ci95_low,ci95_high,n,bootstrap_resamples
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,10,16,0.0001,power_spectrum_error,0.9433265030384064,0.010254201802154986,0.9360756874084473,0.9505773186683655,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,10,16,0.0001,relative_l2,0.9949093461036682,0.0006388619297281317,0.9944576025009155,0.9953610897064209,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,10,16,0.0001,temporal_corr,0.12172444656431988,0.02126386995184249,0.1066886199271032,0.13676027320153658,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,5,16,0.0001,autocorr_error,0.21265074610710144,0.04971395691281271,0.17749767005443573,0.24780382215976715,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,5,16,0.0001,max_abs_error,2.6659374237060547,0.2135071680116989,2.514965057373047,2.8169097900390625,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,5,16,0.0001,nrmse,0.9904019386596354,0.0032505607632995264,0.9881034451012475,0.9927004322180235,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,5,16,0.0001,power_spectrum_error,0.9403417706489563,0.011737307254404835,0.9320422410964966,0.948641300201416,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,5,16,0.0001,relative_l2,0.9904019236564636,0.003250533544554191,0.988103449344635,0.9927003979682922,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,5,16,0.0001,temporal_corr,0.1876518756870713,0.04515833327007929,0.15572011200471617,0.21958363936942646,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,0,0,0.0,valid_prediction_never_crossed,0.0,0.0,0.0,0.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,0,0,0.0,valid_prediction_time,1.0,0.0,1.0,1.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,1,0,0.0,max_abs_error,1.5770138502120972,0.3787010664005719,1.3092317581176758,1.8447959423065186,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,1,0,0.0,nrmse,0.6507156228598178,0.21036511877453076,0.5019650208492336,0.799466224870402,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,1,0,0.0,power_spectrum_error,0.3237314596772194,0.2231262905637796,0.16595734655857086,0.4815055727958679,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,1,0,0.0,relative_l2,0.650715559720993,0.21036507830836323,0.5019649863243103,0.7994661331176758,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,1,0,0.0,temporal_corr,0.7322588740464817,0.1889871243375204,0.5986247968704759,0.8658929512224877,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,10,0,0.0,autocorr_error,0.1719171702861786,0.06301341603384958,0.12735995650291443,0.21647438406944275,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,10,0,0.0,max_abs_error,2.5337191820144653,0.8970547038176269,1.8994057178497314,3.168032646179199,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,10,0,0.0,nrmse,0.7833776365546703,0.24255650368165171,0.6118642879804747,0.954890985128866,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,10,0,0.0,power_spectrum_error,0.35435084998607635,0.14981811692279542,0.24841344356536865,0.46028825640678406,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,10,0,0.0,relative_l2,0.7833775877952576,0.2425564618793475,0.6118642687797546,0.9548909068107605,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,10,0,0.0,temporal_corr,0.570066361391139,0.3128346463566653,0.3488588615622455,0.7912738612200325,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,5,0,0.0,autocorr_error,0.13180642575025558,0.10807576225377258,0.055385321378707886,0.20822753012180328,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,5,0,0.0,max_abs_error,2.2420207262039185,0.4845307914870625,1.8994057178497314,2.5846357345581055,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,5,0,0.0,nrmse,0.6818499121262509,0.21769349888899153,0.5279173628416188,0.835782461410883,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,5,0,0.0,power_spectrum_error,0.32341164350509644,0.20476119118350625,0.17862361669540405,0.4681996703147888,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,5,0,0.0,relative_l2,0.6818498969078064,0.21769353018058898,0.5279173254966736,0.8357824683189392,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,truncated_svd_dmd,test,5,0,0.0,temporal_corr,0.6996480440489163,0.21518362833393023,0.5474902412536686,0.8518058468441642,2,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,avg_active_per_coord_1e2,5.625,0.0,5.625,5.625,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,avg_active_per_coord_1e3,14.6875,0.0,14.6875,14.6875,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,avg_active_per_coord_1e4,15.9375,0.0,15.9375,15.9375,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,effective_density_1e2,0.3515625,0.0,0.3515625,0.3515625,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,effective_density_1e3,0.91796875,0.0,0.91796875,0.91796875,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,effective_density_1e4,0.99609375,0.0,0.99609375,0.99609375,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,inference_time_seconds,0.004021490924060345,0.0,0.004021490924060345,0.004021490924060345,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,k_l0_exact,0.0,0.0,0.0,0.0,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,k_l1,17.995901107788086,0.0,17.995901107788086,17.995901107788086,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,k_max_abs,1.0226083993911743,0.0,1.0226083993911743,1.0226083993911743,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,spectral_radius,1.0426642894744873,0.0,1.0426642894744873,1.0426642894744873,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,valid_prediction_never_crossed,0.0,0.0,0.0,0.0,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,0,16,0.0,valid_prediction_time,1.0,0.0,1.0,1.0,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,1,16,0.0,max_abs_error,5.595236301422119,0.0,5.595236301422119,5.595236301422119,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,1,16,0.0,nrmse,1.0103773650837728,0.0,1.0103773650837728,1.0103773650837728,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,1,16,0.0,power_spectrum_error,0.7318236827850342,0.0,0.7318236827850342,0.7318236827850342,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,1,16,0.0,relative_l2,1.010377287864685,0.0,1.010377287864685,1.010377287864685,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,1,16,0.0,temporal_corr,0.03456715256978085,0.0,0.03456715256978085,0.03456715256978085,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,10,16,0.0,autocorr_error,0.7931496500968933,0.0,0.7931496500968933,0.7931496500968933,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,10,16,0.0,max_abs_error,7.599851608276367,0.0,7.599851608276367,7.599851608276367,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,10,16,0.0,nrmse,0.9999743552002813,0.0,0.9999743552002813,0.9999743552002813,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,10,16,0.0,power_spectrum_error,0.7556329965591431,0.0,0.7556329965591431,0.7556329965591431,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,10,16,0.0,relative_l2,0.9999743103981018,0.0,0.9999743103981018,0.9999743103981018,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,10,16,0.0,temporal_corr,0.07378305122366641,0.0,0.07378305122366641,0.07378305122366641,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,5,16,0.0,autocorr_error,0.5880228281021118,0.0,0.5880228281021118,0.5880228281021118,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,5,16,0.0,max_abs_error,5.595236301422119,0.0,5.595236301422119,5.595236301422119,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,5,16,0.0,nrmse,1.0066633569698253,0.0,1.0066633569698253,1.0066633569698253,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,5,16,0.0,power_spectrum_error,0.7007584571838379,0.0,0.7007584571838379,0.7007584571838379,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,5,16,0.0,relative_l2,1.0066633224487305,0.0,1.0066633224487305,1.0066633224487305,1,2000
pdebench_swe,clean_or_fixture,dense_conv_kae,test,5,16,0.0,temporal_corr,0.0439721117627393,0.0,0.0439721117627393,0.0439721117627393,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,avg_active_per_coord_1e2,5.875,0.0,5.875,5.875,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,avg_active_per_coord_1e3,14.6875,0.0,14.6875,14.6875,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,avg_active_per_coord_1e4,15.9375,0.0,15.9375,15.9375,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,effective_density_1e2,0.3671875,0.0,0.3671875,0.3671875,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,effective_density_1e3,0.91796875,0.0,0.91796875,0.91796875,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,effective_density_1e4,0.99609375,0.0,0.99609375,0.99609375,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,inference_time_seconds,0.003839781042188406,0.0,0.003839781042188406,0.003839781042188406,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,k_l0_exact,0.0,0.0,0.0,0.0,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,k_l1,17.87045669555664,0.0,17.87045669555664,17.87045669555664,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,k_max_abs,1.0108776092529297,0.0,1.0108776092529297,1.0108776092529297,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,spectral_radius,1.0291807651519775,0.0,1.0291807651519775,1.0291807651519775,1,2000
pdebench_swe,clean_or_fixture,skae_conv_k_l1,test,0,16,0.0001,valid_prediction_never_crossed,0.0,0.0,0.0,0.0,1,2000
